s_no,asi_circle,monument,period,year_index,domestic_visitors,foreign_visitors,total_visitors,flag_source_anomaly,flag_likely_extraction_error,flag_incomplete_pair,exclude_from_training,covid_year,recovery_year,post_covid
23,Thrissur,"Bekal Fort, Pallikkare Distt. Kasargod",2024-25,5,374766.0,516.0,375282.0,False,False,False,False,0,0,1
59,Hampi,Bellary Fort,2019-20,0,28723.0,56.0,28779.0,False,False,False,False,0,0,0
59,Hampi,Bellary Fort,2020-21,1,11069.0,9.0,11078.0,False,False,False,False,1,0,0
59,Hampi,Bellary Fort,2021-22,2,17263.0,15.0,17278.0,False,False,False,False,0,1,0
59,Hampi,Bellary Fort,2022-23,3,14402.0,13.0,14415.0,False,False,False,False,0,0,1
59,Hampi,Bellary Fort,2023-24,4,38270.0,40.0,38310.0,False,False,False,False,0,0,1
59,Hampi,Bellary Fort,2024-25,5,37401.0,53.0,37454.0,False,False,False,False,0,0,1
48,Bhopal,Bir Singh Palace Datia,2019-20,0,23382.0,736.0,24118.0,False,False,False,False,0,0,0
48,Bhopal,Bir Singh Palace Datia,2020-21,1,14045.0,12.0,14057.0,False,False,False,False,1,0,0
48,Bhopal,Bir Singh Palace Datia,2021-22,2,26306.0,29.0,26335.0,False,False,False,False,0,1,0
48,Bhopal,Bir Singh Palace Datia,2022-23,3,42455.0,433.0,42888.0,False,False,False,False,0,0,1
48,Bhopal,Bir Singh Palace Datia,2023-24,4,43841.0,763.0,44604.0,False,False,False,False,0,0,1
48,Bhopal,Bir Singh Palace Datia,2024-25,5,42443.0,943.0,43386.0,False,False,False,False,0,0,1
117,Guwahati,Bishnudol Temple,2019-20,0,21062.0,118.0,21180.0,False,False,False,False,0,0,0
117,Guwahati,Bishnudol Temple,2020-21,1,2921.0,0.0,2921.0,False,False,False,False,1,0,0
117,Guwahati,Bishnudol Temple,2021-22,2,2606.0,2.0,2608.0,False,False,False,False,0,1,0
117,Guwahati,Bishnudol Temple,2022-23,3,7453.0,32.0,7485.0,False,False,False,False,0,0,1
117,Guwahati,Bishnudol Temple,2023-24,4,6539.0,10.0,6549.0,False,False,False,False,0,0,1
117,Guwahati,Bishnudol Temple,2024-25,5,5777.0,24.0,5801.0,False,False,False,False,0,0,1
66,Kolkata,Bishnupur Temples,2019-20,0,154986.0,505.0,155491.0,False,False,False,False,0,0,0
66,Kolkata,Bishnupur Temples,2020-21,1,117107.0,237.0,117344.0,False,False,False,False,1,0,0
66,Kolkata,Bishnupur Temples,2021-22,2,111814.0,222.0,112036.0,False,False,False,False,0,1,0
66,Kolkata,Bishnupur Temples,2022-23,3,185784.0,321.0,186105.0,False,False,False,False,0,0,1
66,Kolkata,Bishnupur Temples,2023-24,4,196991.0,464.0,197455.0,False,False,False,False,0,0,1
66,Kolkata,Bishnupur Temples,2024-25,5,183156.0,507.0,183663.0,False,False,False,False,0,0,1
69,Rajkot,"Buddhisht Caves, Junagadh",2019-20,0,18755.0,796.0,19551.0,False,False,False,False,0,0,0
69,Rajkot,"Buddhisht Caves, Junagadh",2020-21,1,58.0,0.0,58.0,False,False,False,False,1,0,0
69,Rajkot,"Buddhisht Caves, Junagadh",2021-22,2,0.0,0.0,0.0,False,False,False,False,0,1,0
